Date,Hour,Forex,Evenement,Actuel,Forecast,Previous
2021-06-18,08:00:00,GBP,Ventes au détail (Mensuel) (Mai),"-1,4%",0.016,0.092
2021-06-22,16:00:00,USD,Ventes de logements existants (Mai),"5,80M",5.72M,5.85M
2021-06-23,09:30:00,EUR,PMI manufacturier Allemagne (Juin)  ,"64,9",63,64.4
2021-06-23,10:30:00,GBP,PMI Composite  ,"61,7",62.8,62.9
2021-06-23,10:30:00,GBP,PMI manufacturier  ,"64,2",64,65.6
2021-06-23,10:30:00,GBP,PMI services  ,"61,7",63,62.9
2021-06-23,16:00:00,USD,Ventes de logements neufs (Mai),769K,870K,817K
2021-06-24,10:00:00,EUR,IFO climat des affaires Allemagne (Juin),"101,8",100.6,99.2
2021-06-24,13:00:00,GBP,Décision de la BoE sur les taux d'intérêt (Juin),"0,10%",0.001,0.001
2021-06-24,14:30:00,USD,Commandes de biens durables - core (Mensuel) (Mai),"0,3%",0.008,0.017
2021-06-24,14:30:00,USD,PIB (Trimestriel) (T1),"6,4%",0.064,0.064
2021-06-24,14:30:00,USD,Inscriptions hebdomadaires au chômage,411K,380K,418K
2021-06-25,14:30:00,USD,PCE core - Indice des prix à la consommation des ménages (Mensuel) (Mai),"0,5%",0.006,0.007
2021-06-29,16:00:00,USD,Confiance des consommateurs - Conference Board (Juin),"127,3",119,120
2021-06-30,08:00:00,GBP,PIB (Annuel) (T1),"-6,1%",-0.061,-0.078
2021-06-30,08:00:00,GBP,PIB (Trimestriel) (T1),"-1,6%",-0.015,0.013
2021-06-30,09:55:00,EUR,Evolution du nombre de chômeurs Allemagne (Juin),-38K,-20K,-19K
2021-06-30,11:00:00,EUR,IPC (Annuel) (Juin)  ,"1,9%",0.019,0.02
2021-06-30,14:15:00,USD,Créations d'emplois non agricoles ADP (Juin),692K,600K,886K
2021-06-30,16:00:00,USD,Promesses de ventes de logements (Mensuel) (Mai),"8,0%",-0.008,-0.044
2021-01-07,09:55:00,EUR,PMI manufacturier Allemagne (Juin),"65,1",64.9,64.4
